parent,child,description_parent,description_child
,root,,root
root,projects,root,root/projects
projects,hcil,root/projects,root/projects/hcil
hcil,people,root/projects/hcil,root/projects/hcil/People
people,ara,root/projects/hcil/People,root/projects/hcil/People/ara
ara,ara-index.html,root/projects/hcil/People/ara,root/projects/hcil/People/ara/index.html
people,catherine.html,root/projects/hcil/People,root/projects/hcil/People/catherine.html
hcil,research,root/projects/hcil,root/projects/hcil/Research
research,1997,root/projects/hcil/Research,root/projects/hcil/Research/1997
1997,patientrecord.html,root/projects/hcil/Research/1997,root/projects/hcil/Research/1997/patientrecord.html
research,projects.html,root/projects/hcil/Research,root/projects/hcil/Research/projects.html
research,video96.html,root/projects/hcil/Research,root/projects/hcil/Research/video96.html
hcil,about,root/projects/hcil,root/projects/hcil/about
about,acm-award-pics,root/projects/hcil/about,root/projects/hcil/about/acm-award-pics
acm-award-pics,mvc-010s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-010s.jpg
acm-award-pics,mvc-010s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-010s_small.jpg
acm-award-pics,mvc-016s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-016s.jpg
acm-award-pics,mvc-016s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-016s_small.jpg
acm-award-pics,mvc-019s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-019s.jpg
acm-award-pics,mvc-019s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-019s_small.jpg
acm-award-pics,mvc-022s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-022s.jpg
acm-award-pics,mvc-022s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-022s_small.jpg
acm-award-pics,mvc-024s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-024s.jpg
acm-award-pics,mvc-024s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-024s_small.jpg
acm-award-pics,mvc-025s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-025s.jpg
acm-award-pics,mvc-025s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-025s_small.jpg
acm-award-pics,mvc-027s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-027s.jpg
acm-award-pics,mvc-027s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-027s_small.jpg
acm-award-pics,mvc-028s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-028s.jpg
acm-award-pics,mvc-028s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-028s_small.jpg
acm-award-pics,mvc-029s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-029s.jpg
acm-award-pics,mvc-029s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-029s_small.jpg
acm-award-pics,mvc-030s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-030s.jpg
acm-award-pics,mvc-030s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-030s_small.jpg
acm-award-pics,mvc-031s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-031s.jpg
acm-award-pics,mvc-031s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-031s_small.jpg
acm-award-pics,mvc-032s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-032s.jpg
acm-award-pics,mvc-032s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-032s_small.jpg
acm-award-pics,mvc-033s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-033s.jpg
acm-award-pics,mvc-033s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-033s_small.jpg
acm-award-pics,mvc-034s.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-034s.jpg
acm-award-pics,mvc-034s_small.jpg,root/projects/hcil/about/acm-award-pics,root/projects/hcil/about/acm-award-pics/mvc-034s_small.jpg
