parent,child
,root
root,projects
projects,hcil
hcil,people
people,ara
ara,index.html
people,catherine.html
hcil,research
research,1997
1997,patientrecord.html
research,projects.html
research,video96.html
hcil,about
about,acm-award-pics
acm-award-pics,mvc-010s.jpg
acm-award-pics,mvc-010s_small.jpg
acm-award-pics,mvc-016s.jpg
acm-award-pics,mvc-016s_small.jpg
acm-award-pics,mvc-019s.jpg
acm-award-pics,mvc-019s_small.jpg
acm-award-pics,mvc-022s.jpg
acm-award-pics,mvc-022s_small.jpg
acm-award-pics,mvc-024s.jpg
acm-award-pics,mvc-024s_small.jpg
acm-award-pics,mvc-025s.jpg
acm-award-pics,mvc-025s_small.jpg
acm-award-pics,mvc-027s.jpg
acm-award-pics,mvc-027s_small.jpg
acm-award-pics,mvc-028s.jpg
acm-award-pics,mvc-028s_small.jpg
acm-award-pics,mvc-029s.jpg
acm-award-pics,mvc-029s_small.jpg
acm-award-pics,mvc-030s.jpg
acm-award-pics,mvc-030s_small.jpg
acm-award-pics,mvc-031s.jpg
acm-award-pics,mvc-031s_small.jpg
acm-award-pics,mvc-032s.jpg
acm-award-pics,mvc-032s_small.jpg
acm-award-pics,mvc-033s.jpg
acm-award-pics,mvc-033s_small.jpg
acm-award-pics,mvc-034s.jpg
acm-award-pics,mvc-034s_small.jpg
acm-award-pics,mvc-035s.jpg
acm-award-pics,mvc-035s_small.jpg
about,acm-award.shtml
about,allison-outstanding-faculty-award.shtml
about,aol-fellowship.shtml
about,awards.shtml
about,hcil-org.shtml
about,index1.html
about,jobs.shtml
about,pictures
pictures,ben-baby.gif
pictures,bike2000.html
pictures,bluedot.gif
pictures,chi95.gif
pictures,chi95
chi95,1.gif
chi95,10.gif
chi95,2.gif
chi95,3.gif
chi95,4.gif
chi95,5.gif
chi95,6.gif
chi95,7.gif
chi95,8.gif
chi95,9.gif
chi95,index2.html
pictures,chi97.jpg
pictures,chi97
chi97,1.jpg
chi97,10.jpg
chi97,10t.jpg
chi97,11.jpg
chi97,11t.jpg
chi97,12.jpg
chi97,12t.jpg
chi97,13.jpg
chi97,13t.jpg
chi97,1t.jpg
chi97,2.jpg
chi97,2t.jpg
chi97,3.jpg
chi97,3t.jpg
chi97,4.jpg
chi97,4t.jpg
chi97,5.jpg
chi97,5t.jpg
chi97,6.jpg
chi97,6t.jpg
chi97,7.jpg
chi97,7t.jpg
chi97,8.jpg
chi97,8t.jpg
chi97,9.jpg
chi97,9t.jpg
chi97,index3.html
pictures,creature.gif
pictures,earth-little.gif
pictures,earth-marked.gif
pictures,hcil-world-map.html
pictures,index4.html
pictures,index.shtml
pictures,misc
misc,bike01-small.jpg
misc,bike01.jpg
misc,bike02.jpg
pictures,oh99
oh99,index1.shtml
oh99,pic00045.jpg
oh99,pic00046-small.jpg
oh99,pic00046.jpg
oh99,pic00047-small.jpg
oh99,pic00047.jpg
oh99,pic00049.jpg
oh99,pic00050-small.jpg
oh99,pic00050.jpg
oh99,pic00051.jpg
oh99,pic00052.jpg
oh99,pic00053.jpg
oh99,pic00054-small.jpg
oh99,pic00054.jpg
oh99,pic00055.jpg
oh99,pic00056.jpg
oh99,pic00057-small.jpg
oh99,pic00057.jpg
oh99,pic00058-small.jpg
oh99,pic00058.jpg
oh99,pic00059.jpg
oh99,pic00060.jpg
oh99,pic00061.jpg
oh99,pic00062.jpg
oh99,pic00063.jpg
oh99,pic00064.jpg
oh99,pic00065.jpg
oh99,pic00066-small.jpg
oh99,pic00066.jpg
oh99,pic00067.jpg
oh99,pic00068.jpg
oh99,pic00069.jpg
oh99,pic00070.jpg
oh99,pic00071.jpg
oh99,pic00072.jpg
oh99,pic00073.jpg
oh99,pic00074.jpg
oh99,pic00075.jpg
oh99,pic00076-small.jpg
oh99,pic00076.jpg
pictures,pic00047-small1.jpg
pictures,reddot.gif
pictures,renovation
renovation,after.jpg
renovation,empty.jpg
renovation,index5.html
renovation,packing.jpg
renovation,packing2.jpg
renovation,student-desk.jpg
